RecipeName,Ingredients,PrepTimeInMins,CookTimeInMins,TotalTimeInMins,Servings,Cuisine,Course,Diet
Homemade Baked Beans Recipe (Wholesome & Healthy),"250 grams Dry beans - (such as cannellini or soya beans),1 teaspoon Extra Virgin Olive Oil,1 Onion - finely chopped,1 clove Garlic - grated,500 grams Tomatoes - pureed,1 tablespoon Honey - or more to taste,1 teaspoon Cumin powder (Jeera),1 teaspoon Dried oregano,1/4 teaspoon Red Chilli powder - or cayenne pepper,Salt and Pepper - (coarsely pounded pepper) to taste",60,60,120,4,Fusion,High Protein Vegetarian,Vegetarian
Veg Chili Cheese Burgers Recipe,"2 Burger buns,5 Pickled Jalapenos - sliced,2 Cheese Slices,2 Potatoes (Aloo) - pressure cooked,1 Onion - chopped,1 tablespoon Red Chilli powder,Salt - to taste,1 Whole Egg,1/2 cup Whole Wheat Bread crumbs,4 cloves Garlic - chopped,1 Onions - chopped,2 Tomatoes - chopped,1 cup Homemade tomato puree,1 Green Bell Pepper (Capsicum) - chopped,1/2 cup Soy granules,1 tablespoon Red Chilli powder,1 teaspoon Red Chilli flakes,1 tablespoon Cumin powder (Jeera),1 tablespoon Dried oregano,1 tablespoon Tabasco Original - Hot Sauce,1 teaspoon Honey,Salt - to taste,Sunflower Oil",10,45,55,4,Continental,Main Course,Vegetarian
Andhra Steel Ingavu Charu Recipe - Asfoitida Flavored Tamarand Rasam,"2 cup Tamarind Water,1/2 cup Arhar dal (Split Toor Dal),1 teaspoon Asafoetida (hing),Salt - to taste,1 teaspoon Mustard seeds,1 teaspoon Cumin seeds (Jeera),1 teaspoon Methi Seeds (Fenugreek Seeds),1 sprig Curry leaves,1 pinch Asafoetida (hing),Sunflower Oil - for cooking",0,30,30,4,Andhra,Lunch,Vegetarian
And fish soup recipe - Bengali style fish in tomato gravy,"600 grams Aar Maach (fish) - rohu/ katla fish (cut into thick steaks),1 Tomato - finely chopped,2 Bay leaves (tej patta),1-1/2 tablespoons Ginger - paste,4 Green Chillies - coarsely crushed,1 teaspoon Cumin powder (Jeera),1 teaspoon Coriander Powder (Dhania),Salt - to taste,1/2 teaspoon Cumin seeds (Jeera),1/2 teaspoon Turmeric powder (Haldi),2 Green Chillies - slit lengthwise,Mustard oil - as required,1-1/4 cups Water - add 2 cups if you like a loose gravy,Sugar - a pinch (optional),1 tablespoon Coriander (Dhania) Leaves - optional",5,15,20,2,Bengali Recipes,Dinner,High Protein Non Vegetarian
Saunf Aloo (Fennel Potato Curry) Recipe,"5 Potatoes (Aloo) - halved with skin,2 teaspoon Fennel seeds (Saunf) - crushed,2 teaspoon Red Chilli powder,1 teaspoon Turmeric powder (Haldi),1/4 cup Fresh cream - or 1/2 cup milk,4 sprig Coriander (Dhania) Leaves - finely chopped",10,15,25,6,Punjabi,Lunch,Vegetarian
South Indian Onion Chutney Recipe - South Indian Onion Chutney (Recipe),"2 onions, 1 teaspoon cumin seeds, 2 tablespoons black urad dal (split), 1 tablespoon tamarind paste, 3 dry red chillies, 1/2 teaspoon jaggery, 2 teaspoons oil, salt - 1 teaspoon, as per taste Rye, 1 sprig curry leaves, 1/2 teaspoon oil",20,20,40,4,South Indian Recipes,Side Dish,Vegetarian
Hariyali Egg Curry Recipe In Coriander and Mint Gravy,"4 Whole Eggs - boiled,1 Cinnamon Stick (Dalchini) - small,1 Bay leaf (tej patta),2 Cloves (Laung),1 tablespoon Sunflower Oil,2 teaspoons Coriander Powder (Dhania),1 teaspoon Garam masala powder,2 tablespoons Fresh cream,2 cups Coriander (Dhania) Leaves - tightly packed,1 cup Mint Leaves (Pudina) - chopped,2 Green Chillies - chopped,1 Onion - roughly chopped,1 inch Ginger - chopped,4 cloves Garlic",15,20,35,4,Indian,Lunch,Eggetarian
Gourd Raita Recipe - Grated Bottle Gourd Yogurt Salad,"2 cups curd, 1 cup gourd - peel and tighten, 1 cucumber - peel and grind, 1 green - finely chopped, 1 green coriander - little, 1/2 teaspoon cumin powder, salt - as per taste",15,15,30,4,Indian,Side Dish,Vegetarian
Homemade Tater Tots Recipe,"10 Potatoes (Aloo),1 teaspoon Garlic powder,1 teaspoon Onion powder,1 teaspoon Dried oregano,1 tablespoon Coriander (Dhania) Leaves - finely chopped,1 teaspoon Red Chilli flakes,2 tablespoon All Purpose Flour (Maida),1 tablespoon Rice flour,Salt - to taste,Sunflower Oil - for deep frying the tater tots",15,45,60,8,Continental,Appetizer,Vegetarian
Chettinad Vegetable Casserole Recipe - Chettinad Vegetable Pulao Recipe,"1 cup rice - wash well in water, 12 small onions - finely chopped, 2 cloves garlic - tighten, 1 inch ginger - tighten, 2 green chillies - straight and thin cut, 1 bay leaf - break , 1 tsp red chilli powder, 1 tsp turmeric powder, 1 carrot - chop, 12 green beans - chop, 2 potatoes - peel and chop, ghee - as per use, 2 cloves, 1 inch cinnamon, 1 tsp fennel , 1 tsp whole pepper, 1 tsp coriander seeds, 1/4 cup green peas - steam, 1/4 cup mint leaves - finely chopped",15,45,60,4,Chettinad,Dinner,Vegetarian
Garlic Amla Chutney Recipe - Lehsun Amla Chutney Recipe,"8 amla, 6 small onions, 10 bud garlic, 2 green chillies, 1/2 cup mint, 1/2 cup coriander, salt - as per taste, 1 tsp oil, 1 tsp oil, 1/2 tsp rye, 1/4 tsp urad dal, 1/4 tsp chana dal, 1 sprig curry leaves, 10 cashew nuts",5,10,15,3,Tamil Nadu,Side Dish,Vegetarian
Maharashtrian Kakdi Thalipeeth Recipe - Spiced Cucumber Flat Bread,"1/2 cup Gram flour (besan),1/2 cup Whole Wheat Flour,1/4 cup Rice flour,1 Cucumber - peeled and grated,1 teaspoon Turmeric powder (Haldi),1 teaspoon Cumin powder (Jeera),1 teaspoon Coriander Powder (Dhania),1 teaspoon Red Chilli powder,2 Green Chillies - finely chopped,1/2 cup Coriander (Dhania) Leaves - chopped,5 cloves Garlic - finely chopped,Salt - to taste,Ghee - for smearing on thalipeeth",30,30,60,4,Maharashtrian Recipes,Indian Breakfast,Diabetic Friendly
Homemade Healthy Subway Sandwich Recipe With Beet & Sprout,"2 Submarine Bread (Subway Bread) - (flat breads or foot longs),1/2 cup Green Moong Sprouts,1 Beetroot - grated,2 cloves Garlic - grated,1/2 cup Hung Curd (Greek Yogurt),2 tablespoon Coriander (Dhania) Leaves - finely chopped,2 Tomatoes - thinly sliced,2 Stalks Spring Onion (Bulb & Greens) - finely chopped,Tabasco Original - Hot Sauce - to taste,Salt and Pepper - to taste",15,15,30,4,Fusion,Dinner,High Protein Vegetarian
South Indian Style Murungakkai Poriyal Recipe - Drumstick Stir Fry,"5 Drumstick - cut into 3 inch pieces,1/2 cup Fresh coconut - grated,2 Green Chillies - slit,1 sprig Curry leaves,1 teaspoon Mustard seeds,2 teaspoons Coconut Oil,2 Dry Red Chillies,1/2 teaspoon Turmeric powder (Haldi),Salt - to taste,Water - as needed",30,15,45,4,South Indian Recipes,Side Dish,Vegetarian
Kesar Mango Lassi Recipe - Saffron Mango Lassi Recipe,"3/4 cup Mango Pulp (Puree),1 cup Curd (Dahi / Yogurt) - (low fat),1 tablespoon Sugar - or honey,2 pinch Saffron strands,3 tablespoons Badam (Almond) - roughly chopped,3 tablespoons Milk - luke warm+more cold milk as needed,Ice cubes - a few",15,10,25,2,Indian,Snack,Vegetarian
Chettinad Sweet Paniyaram Recipe - Chettinad Sweet Paniyaram Recipe,"1 cup idli dosa mixture, 4 tablespoons rice rava, 1/3 cup jaggery, 3 tablespoons coconut - grated, 1 tablespoon of cardamom powder, salt - as per taste, water - as per use, oil - as per use",5,20,25,10,Chettinad,Snack,Vegetarian
Mini Dal Samosa Curry / Sabzi Recipe,"3 Cardamom (Elaichi) Pods/Seeds,6 Whole Black Peppercorns,1/2 inch Cinnamon Stick (Dalchini),3 cloves Cloves (Laung),1 Mace (Javitri),1 Bay leaf (tej patta),1 Black cardamom (Badi Elaichi),1/2 teaspoon Kasuri Methi (Dried Fenugreek Leaves),1/2 teaspoon Kashmiri Red Chilli Powder,1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Coriander Powder (Dhania),1/2 teaspoon Garam masala powder,6 Samosas - mini,15 Cashew nuts,1 Green Chilli,1 Onion - roughly chopped,2 Tomato - roughly chopped,1/2 inch Ginger,1/2 teaspoon Sugar,1 tablespoon Fresh cream,2 tablespoons Sunflower Oil",5,30,35,3,North Indian Recipes,Lunch,Vegetarian
Spinach Garlic Bruschetta Recipe With Red Bell Pepper Sauce,"1 Baguette - sliced,1 1/2 tablespoon Butter,1/2 tablespoon Garlic - minced,1 cup Spinach Leaves (Palak),1 Red Bell pepper (Capsicum) - (optional,1 Tomato - finely chopped,1 Onion - finely chopped (optional),1 tablespoon Black pepper powder - adjust,1 tablespoon Italian seasoning,1 teaspoon Fresh cream,1 cup Cheddar cheese - grated,Salt - to taste,1 tablespoon Roasted tomato pasta sauce",10,20,30,4,Italian Recipes,Appetizer,Vegetarian
Mini Dal Mature Chat Recipe - That Perfect Party Snack,"1 cup Whole Wheat Flour,1 cup All Purpose Flour (Maida),1 teaspoon Ajwain (Carom seeds),1 teaspoon Cumin seeds (Jeera),2 tablespoons Ghee,Salt - as needed,Sunflower Oil - for deep frying,1 cup Chana dal (Bengal Gram Dal),1/2 teaspoon Turmeric powder (Haldi),1/2 teaspoon Garam masala powder,1/4 teaspoon Red Chilli powder,1 teaspoon Amchur (Dry Mango Powder),1/2 teaspoon Sugar,Salt - as needed,1 tablespoon Ghee,1/4 teaspoon Asafoetida (hing),1 teaspoon Cumin seeds (Jeera),2 Green Chillies - slit,1 sprig Curry leaves,1/4 cup Sweet Chutney (Date & Tamarind),1/4 cup Green Chutney (Coriander & Mint),1 Onion - finely chopped,1/2 cup Fresh Pomegranate Fruit Kernels,1/4 cup Sev",20,45,65,30,Sindhi,Appetizer,Vegetarian
Asian Style Sweet & Spicy Green Beans Recipe,"300 grams Green beans (French Beans) - cut into half,3 cloves Garlic - finely chopped,1 tablespoon Soy sauce,2 tablespoons Thai Sweet Chilli Sauce,1 Lemon - juice,2 tablespoons Rice Wine Vinegar,1/4 cup Roasted Peanuts (Moongphali),Salt - to taste,1 tablespoon Sesame (Gingelly) Oil",10,15,25,4,Thai,Side Dish,High Protein Vegetarian
Chinese Darsaan Recipe With Ice Cream,"1 tablespoon Sunflower Oil,All Purpose Flour (Maida),1/4 teaspoon Baking powder,Water - to make the dough,Sunflower Oil - to deep fry,2 tablespoons Honey,2 tablespoon Sugar,1 tablespoon Sesame seeds (Til seeds) - white,2 tablespoons Water,1/2 teaspoon Vanilla Extract",15,25,40,4,Chinese,Dessert,Vegetarian
Sundakkai and Methi Leaves Sambar Recipe - Sundkai Methi Sambar Recipe,"1/2 cup Sundkai, 1/4 cup fenugreek, 1/2 cup Arhar dal - boiled and mashed, 1/2 Tomato, 1 Tamarind, 1/2 tsp Turmeric Powder, 2 tsp Sambar Powder, 1 tsp Coriander Powder, 1/2 teaspoon mustard, 1/4 teaspoon cumin seeds, 1 dry red chili, 1/4 teaspoon asafoetida, oil - as per use, salt - as per taste, curry leaves - little, green coriander - little, water - According to use",30,35,65,4,South Indian Recipes,Lunch,Diabetic Friendly
"Cabbage, Spinach, Pomegranate Slaw with Lemon Dressing Recipe","1 cup Cabbage (Patta Gobi/ Muttaikose) - shredded,1 cup Spinach - shredded,1 cup Fresh Pomegranate Fruit Kernels,2 Lemon juice,2 tablespoons Extra Virgin Olive Oil,Salt and Pepper - to taste",15,0,15,4,Continental,Appetizer,Vegetarian
Matar Samosa Recipe -Green Pea Samosa,"1 cup All Purpose Flour (Maida),2 tablespoons Ghee,1/2 teaspoon Salt,Sunflower Oil - for deep frying,2 tablespoons Ghee,1 teaspoon Cumin seeds (Jeera),1 teaspoon Green Chilli Sauce,1/2 teaspoon Cinnamon Powder (Dalchini),1/2 teaspoon Garam masala powder,1/4 teaspoon Red Chilli powder,2 teaspoon Amchur (Dry Mango Powder),1-1/2 cups Green peas (Matar) - steamed and mashed,Salt - to taste,2 teaspoon All Purpose Flour (Maida),1/4 cup Water",45,10,55,4,North Indian Recipes,Snack,Vegetarian
Eggless Chocolate Cupcakes With Raspberry & Cheese Frosting,"1 cup All Purpose Flour (Maida),1/2 cup Sugar,1 cup Dark chocolate,1/2 cup Cocoa Powder,1/2 cup Salted butter,3/4 cup Milk,1/2 tablespoon Baking powder,1/2 teaspoon Baking soda,1/2 tablespoon Vanilla Extract,1 cup Britannia Cream Cheese,3/4 cup Caster Sugar,1 teaspoon Vanilla Extract,8 Fresh raspberries",20,20,40,4,Continental,Dessert,Vegetarian
Kerala pala pradham recipe,"1 cup Ada,2 liter Milk - full cream,3/4 cup Sugar,1 tablespoon Ghee,1/2 teaspoon Cardamom Powder (Elaichi)",15,75,90,4,Kerala Recipes,Dessert,Vegetarian
Tindora Sambharo Recipe - Instant Tendli Pickle,"1 cup Tindora (Dondakaya/ Kovakkai) - finely chopped,1 teaspoon Red Chilli powder,1/4 teaspoon Split Methi Seeds (Methi Kuria),1/2 teaspoon Split Mustard Seeds (Rai Kuria),1/4 teaspoon Turmeric powder (Haldi),1/4 teaspoon Asafoetida (hing),1 tablespoon Sunflower Oil,Lemon - juice extracted,Salt - to taste",20,15,35,1,Gujarati Recipes﻿,Side Dish,Vegetarian
Chettinad Style Chicken Roast Recipe,"1 Chicken legs,1/4 cup Hung Curd (Greek Yogurt),1/2 teaspoon Turmeric powder (Haldi),Salt - to taste,1 teaspoon Sunflower Oil,1 Onion - sliced,4 cloves Garlic,1/2 inch Ginger,2 tablespoon Fresh coconut - grated,2 teaspoon Cumin seeds (Jeera),2 teaspoons Coriander (Dhania) Seeds,1/4 teaspoon Methi Seeds (Fenugreek Seeds),1/4 teaspoon Kalonji (Onion Nigella Seeds),1 teaspoon Whole Black Peppercorns,2 Dry Red Chillies,1 teaspoon Fennel seeds (Saunf),1/2 inch Cinnamon Stick (Dalchini),2 Cloves (Laung),1 Cardamom (Elaichi) Pods/Seeds,1/2 teaspoon Mustard seeds,1 tablespoon Ghee,1 teaspoon Tamarind Paste,1 teaspoon Jaggery,1 teaspoon Ghee,1/2 teaspoon Mustard seeds,1 sprig Curry leaves,4 cloves Garlic",15,20,35,3,Chettinad,Appetizer,High Protein Non Vegetarian
Palakottai Kujambu Recipe-Kongunad Style Jackfruit Seeds Curry,"1 cup Jackfruit Seeds (Kathal),1 cup Tamarind Water,8 cloves Garlic,1/2 teaspoon Mustard seeds,1/2 teaspoon Cumin seeds (Jeera),8 Curry leaves,1/4 teaspoon Turmeric powder (Haldi),1/2 teaspoon Red Chilli powder,2 teaspoons Sambar Powder,1/4 teaspoon Asafoetida (hing),Coriander (Dhania) Leaves - small bunch,Salt - to taste,2 teaspoons Sunflower Oil,1/2 cup Fresh coconut,10 Whole Black Peppercorns,2 Dry Red Chillies,1 Onion - chopped,1 Tomato - chopped,1 teaspoon Coriander (Dhania) Seeds,1 teaspoon Sunflower Oil",5,20,25,4,Tamil Nadu,Side Dish,Vegetarian
Baingan Bharta Recipe - Brinjal Bharta Recipe,"1 eggplant, 2 inch ginger - peel and tighten, 1 onion - finely chopped, 1 tomato - chopped, 2 green chillies - finely chopped, 1 teaspoon turmeric powder, 1 teaspoon garam masala powder, 1 teaspoon coriander powder , 1 tablespoon butter, 1 teaspoon red chili powder, salt - as per taste, 1 tablespoon oil, 2 sprigs of coriander - finely chopped (for garnish)",25,35,60,4,Punjabi,Side Dish,Vegetarian
Kesar Chai Recipe - A Delicious Saffron Flavored Indian Tea,"2 cups Water,1 teaspoon Tea leaves,1/4 cup Milk,10 Saffron strands - or more",0,10,10,2,North Indian Recipes,North Indian Breakfast,Vegetarian
Pacha Manga Pachadi Recipe - Tamil Nadu Raw Mango Pachadi Recipe,"1 raw mango - chop big, 1 cup tamarind water, 1 tablespoon jaggery, 1 tablespoon sambar powder, 1 teaspoon turmeric powder, 1/2 teaspoon salt, 1 teaspoon mustard, asafoetida - a pinch, 1 Sprig Curry leaves, 2 dry red chillies, oil - as per use",5,30,35,4,Tamil Nadu,Side Dish,Vegetarian
Short Knot Husband Recipe - Raw Jackfruit & Black Chickpea Stir Fry,"10 Jackfruit Seeds (Kathal),1 cup Kala Chana (Brown Chickpeas) - soaked overnight,1 teaspoon Mustard seeds,1/2 teaspoon Cumin seeds (Jeera),1 sprig Curry leaves,1 Tomato - chopped,1/2 cup Tamarind Water,1 teaspoon Turmeric powder (Haldi),4 Dry Red Chillies,1 teaspoon Cumin seeds (Jeera),1 teaspoon Coriander (Dhania) Seeds,2 Cloves (Laung),1 inch Cinnamon Stick (Dalchini),1/2 cup Fresh coconut,1 inch Ginger,4 cloves Garlic",10,45,55,4,Coorg,Lunch,Vegetarian
Whole Wheat Crepe Recipe With Herbed Vegetables,"1 cup Whole Wheat Flour,1 pinch Salt,1 teaspoon Italian seasoning,1/4 cup Cheese spread - flavoured,1 Broccoli - cut into florets,1 Onion - thinly sliced,1 Red Bell pepper (Capsicum) - diced,Salt - to taste,2 sprig Parsley leaves - roughly chopped",10,45,55,4,Coorg,Lunch,Vegetarian
Makki and Methi Roti Recipe,"2 cups Makki Ka Atta (Yellow Corn Meal Flour),1 1/2 cups Methi Leaves (Fenugreek Leaves) - chopped,2 Green Chillies - chopped,1 tablespoon Ajwain (Carom seeds),1 tablespoon Kashmiri Red Chilli Powder,Salt - to taste",10,20,30,4,Punjabi,Lunch,Vegetarian
Cabbage and Carrot Sambharo Recipe - Gujarati Vegetable Stir Fry,"3 Carrots (Gajjar) - grated,3 cups Cabbage (Patta Gobi/ Muttaikose) - shredded,1 Green Bell Pepper (Capsicum) - thinly sliced,1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Sugar,1 teaspoon Lemon juice,Salt - to taste,1 teaspoon Sunflower Oil,1 teaspoon Mustard seeds,1/4 teaspoon Asafoetida (hing),1 sprig Curry leaves,3 Green Chillies - slit lengthwise",10,20,30,4,Gujarati Recipes﻿,Lunch,Vegetarian
Whole Wheat Pita Bread Recipe,"1-1/2 cups All Purpose Flour (Maida),1-1/2 cups Whole Wheat Flour,2 teaspoons Active dry yeast,1/2 teaspoons Salt,1-1/2 teaspoons Sugar,1-1/4 cups Lukewarm Water,2 tablespoons Extra Virgin Olive Oil",30,40,70,6,Continental,Main Course,Vegetarian
Andhra Steel Tomato Knock Recipe (Tomato Chutney),"1 kg Tomatoes,8 Dry Red Chillies - adjustable,1 teaspoon Tamarind Paste,2 teaspoons Red Chilli powder - optional,1/2 teaspoon Turmeric powder (Haldi),1 tablespoon Mustard seeds,1 teaspoon Methi Seeds (Fenugreek Seeds),8 cloves Garlic,Sunflower Oil,Salt - to taste",15,60,75,6,Andhra,Side Dish,Vegetarian
Herbal Brown Rice Recipe - Herbal Brown Rice Recipe,"1-1 / 2 cup brown rice, 2 onions - finely chopped, 4 long garlic - finely chopped, 3 tsp oregano, 3 tsp rosemary, 4 tsp red chilli flakes, salt - as per taste, oil, water - According to use",10,20,30,4,Continental,Side Dish,Vegetarian
Aamras Recipe - Ripe Mango Ras,"3 cups Mango (Ripe) - cut into pieces,1/4 cup Water,Sugar - optional",10,5,15,4,North Indian Recipes,Side Dish,Vegan
Rajasthani very roti recipe,"1 cup Whole Wheat Flour,Salt - to taste,Water - as required,Ghee - as required",20,25,45,4,Rajasthani,Lunch,Vegetarian
Peerkangai Thogayal Recipe (Ridge Gourd Peel Chutney),"2 cups Ridge Gourd Skin (Turai/ Peerkangai),2 teaspoons White Urad Dal (Split),5 Methi Seeds (Fenugreek Seeds),3 Dry Red Chillies,10 Curry leaves,30 grams Tamarind,1/4 teaspoon Mustard seeds,2 Dry Red Chillies,3-4 Curry leaves,1 teaspoon Sunflower Oil,Salt - to taste",15,10,25,4,South Indian Recipes,Side Dish,Vegetarian
Dalia Pakora Recipe - Dalia Pakora Recipe,"1 cup Broken Wheat (Dalia/ Godumai Rava),Salt - to taste,1/2 teaspoon Sunflower Oil,1/3 cup Gram flour (besan),1 Onion - finely chopped,1/4 cup Coriander (Dhania) Leaves - finely chopped,1 Green Chilli - finely chopped,Salt - to taste,1/2 teaspoon Turmeric powder (Haldi),1/2 teaspoon Cumin seeds (Jeera),1/2 teaspoon Ajwain (Carom seeds),1 tablespoon Sunflower Oil,Water - as required to make a thick pakora batter,1 teaspoon Enos fruit salt,Sunflower Oil - as required to fry the pakoras",10,15,25,4,Indian,Snack,Vegetarian
Paneer Tikka Saddle Roll Recipe,"2 cups Whole Wheat Flour,Salt - to taste,Ghee - for cooking,1 tablespoon Ghee - for cooking,200 grams Paneer (Homemade Cottage Cheese) - thinly sliced,1/4 cup Hung Curd (Greek Yogurt),1 tablespoon Gram flour (besan),1 inch Ginger - finely chopped,4 cloves Garlic - finely chopped,1 tablespoon Kasuri Methi (Dried Fenugreek Leaves),1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Chaat Masala Powder,1 teaspoon Garam masala powder,1/4 cup Mint Leaves (Pudina) - finely chopped,Salt - to taste,1 Coal - for giving a smoked flavour,1/4 cup Mint Leaves (Pudina) - chopped,1 Green Bell Pepper (Capsicum) - thinly sliced,2 Onion - thinly sliced,1/2 Lemon - juice extracted,Salt - to taste",30,30,60,4,Bengali Recipes,Snack,Vegetarian
Pan Fried Rice Balls Filled With Cheese Recipe,"2 tablespoon Extra Virgin Olive Oil,2 tablespoon Butter (unsalted),1 Onion - finely chopped,2 cups Jasmine Rice,1 teaspoon Salt,1 cup Sweet corn,1/4 cup Parsley leaves - finely chopped,1 cup Parmesan cheese - grated,1 cup Mozzarella cheese - cut into small cubes,1 cup All Purpose Flour (Maida),3 Whole Eggs - beaten with a fork,1 cup Whole Wheat Bread crumbs,Sunflower Oil - for deep frying",20,45,65,4,Continental,Appetizer,Vegetarian
Spicy Seafood Stew Casserole With Tomatoes And Lime Recipe,"250 grams Fish fillet - basa,250 grams Prawns,15 Clamps,5 Baby Potatoes,2 Carrots (Gajjar),1 Onion,1 Tomato,2 Fresh Red chillies,5 cloves Garlic,1 teaspoon Cumin powder (Jeera),2 teaspoon Paprika powder,Salt - to taste,1 tablespoon Lemon juice,1 teaspoon Black pepper powder,4 tablespoon Coriander (Dhania) Leaves,1 tablespoon Extra Virgin Olive Oil,1 cup Chicken stock,1/4 cup Coconut milk",10,55,65,6,South Indian Recipes,Lunch,Non Vegeterian
